"Markettype","Trddt","Dnvaltrdtl"
"8","2014-08-01","278948931.270"
"4","2014-08-01","135155436957.110"
"1","2014-08-01","151690405721.000"
"2","2014-08-04","23652687.000"
"16","2014-08-04","20114650363.830"
"8","2014-08-04","248063941.060"
"4","2014-08-04","118033214039.990"
"1","2014-08-04","139942930974.000"
"2","2014-08-05","24739699.000"
"16","2014-08-05","32314270590.540"
"8","2014-08-05","220503388.310"
"4","2014-08-05","124310113678.250"
"1","2014-08-05","141321937865.000"
"2","2014-08-06","24370766.000"
"16","2014-08-06","25903112255.190"
"8","2014-08-06","279738653.700"
"1","2014-08-06","140212534404.000"
"4","2014-08-06","125410448278.630"
"2","2014-08-07","26117275.000"
"16","2014-08-07","26280693685.560"
"8","2014-08-07","280975754.810"
"1","2014-08-07","137145374590.000"
"4","2014-08-07","123271178096.700"
"2","2014-08-08","21543024.000"
"16","2014-08-08","24448174566.620"
"8","2014-08-08","208186928.220"
"1","2014-08-08","109596112534.000"
"4","2014-08-08","105278837508.930"
"2","2014-08-11","30834387.000"
"16","2014-08-11","28335914705.800"
"8","2014-08-11","284276632.670"
"1","2014-08-11","125907016269.000"
"4","2014-08-11","120599759326.010"
"2","2014-08-12","29587590.000"
"16","2014-08-12","28757675671.680"
"8","2014-08-12","336206676.860"
"1","2014-08-12","132211825851.000"
"4","2014-08-12","126655485540.750"
"2","2014-08-13","51766382.000"
"16","2014-08-13","30312952993.040"
"8","2014-08-13","243696588.040"
"1","2014-08-13","146172102301.000"
"4","2014-08-13","132283435509.540"
"2","2014-08-14","42425934.000"
"16","2014-08-14","30235214080.870"
"8","2014-08-14","323144429.700"
"1","2014-08-14","141445475004.000"
"4","2014-08-14","132064860383.990"
"2","2014-08-15","28948348.000"
"16","2014-08-15","28453138575.230"
"8","2014-08-15","292481244.420"
"1","2014-08-15","129228694613.000"
"4","2014-08-15","126414697079.260"
"2","2014-08-18","35364696.000"
"16","2014-08-18","38135821529.630"
"8","2014-08-18","248605081.790"
"1","2014-08-18","141275215669.000"
"4","2014-08-18","141816324473.130"
"2","2014-08-19","38585026.000"
"16","2014-08-19","42152771295.760"
"8","2014-08-19","338276952.940"
"1","2014-08-19","155208032936.000"
"4","2014-08-19","159050765859.210"
"2","2014-08-20","35964362.000"
"16","2014-08-20","33431708821.880"
"8","2014-08-20","302940539.540"
"1","2014-08-20","139406736682.000"
"4","2014-08-20","145146461286.670"
"2","2014-08-21","41253650.000"
"16","2014-08-21","35003804950.330"
"8","2014-08-21","308165418.760"
"1","2014-08-21","140625761010.000"
"4","2014-08-21","136023739379.550"
"2","2014-08-22","33546425.000"
"16","2014-08-22","39074167103.550"
"8","2014-08-22","284634640.350"
"1","2014-08-22","140146582944.000"
"4","2014-08-22","131128454831.680"
"2","2014-08-25","33725091.000"
"16","2014-08-25","35683693127.890"
"8","2014-08-25","281931245.300"
"1","2014-08-25","134242430617.000"
"4","2014-08-25","127540396262.880"
"2","2014-08-26","39410379.000"
"16","2014-08-26","31833664401.730"
"8","2014-08-26","231139823.110"
"1","2014-08-26","133880233262.000"
"4","2014-08-26","128427897971.670"
"2","2014-08-27","31123688.000"
"16","2014-08-27","24509404717.520"
"8","2014-08-27","223375393.260"
"1","2014-08-27","103898634684.000"
"4","2014-08-27","103724089416.690"
"2","2014-08-28","31069596.000"
"16","2014-08-28","24695593731.410"
"8","2014-08-28","252505969.240"
"1","2014-08-28","109075183242.000"
"4","2014-08-28","102579589208.490"
"2","2014-08-29","29443935.000"
"16","2014-08-29","21466453748.550"
"8","2014-08-29","234384996.590"
"1","2014-08-29","92862448156.000"
"4","2014-08-29","85916368989.680"
"2","2014-09-01","37638000.000"
"16","2014-09-01","28766845612.940"
"8","2014-09-01","361047333.980"
"1","2014-09-01","116983872916.000"
"4","2014-09-01","113262256400.710"
"2","2014-09-02","37901057.000"
"16","2014-09-02","38989292241.970"
"8","2014-09-02","462332197.720"
"1","2014-09-02","170698128193.000"
"4","2014-09-02","152637035809.280"
"2","2014-09-03","39557631.000"
"16","2014-09-03","43823413895.480"
"8","2014-09-03","391906181.180"
"1","2014-09-03","187314520547.000"
"4","2014-09-03","166784264341.020"
"2","2014-09-04","37477694.000"
"16","2014-09-04","46283096879.020"
"8","2014-09-04","304510741.620"
"1","2014-09-04","179154855484.000"
"4","2014-09-04","166343712238.750"
"2","2014-09-05","44360764.000"
"16","2014-09-05","38922431399.680"
"8","2014-09-05","322512609.450"
"1","2014-09-05","185566350052.000"
"4","2014-09-05","165661473952.510"
"2","2014-09-09","40284296.000"
"16","2014-09-09","39473817356.190"
"8","2014-09-09","304200532.400"
"1","2014-09-09","172659916841.000"
"4","2014-09-09","157506217629.240"
"2","2014-09-10","39928694.000"
"16","2014-09-10","39693217944.940"
"8","2014-09-10","438269959.060"
"1","2014-09-10","163208134880.000"
"4","2014-09-10","156549575021.460"
"2","2014-09-11","55136611.000"
"16","2014-09-11","48113980239.050"
"8","2014-09-11","361247276.650"
"1","2014-09-11","196892425512.000"
"4","2014-09-11","185770759745.600"
"2","2014-09-12","41628150.000"
"16","2014-09-12","37790330873.350"
"8","2014-09-12","279453560.480"
"1","2014-09-12","161846023512.000"
"4","2014-09-12","146576334556.130"
"2","2014-09-15","54527765.000"
"16","2014-09-15","44328916952.210"
"8","2014-09-15","471623134.270"
"1","2014-09-15","185058458820.000"
"4","2014-09-15","174780435021.360"
"2","2014-09-16","69022853.000"
"8","2014-09-16","574883754.860"
"1","2014-09-16","237234974313.000"
"4","2014-09-16","207030255596.650"
"16","2014-09-16","49893613432.450"
"2","2014-09-17","43436917.000"
"8","2014-09-17","395183517.180"
"1","2014-09-17","158854791531.000"
"4","2014-09-17","144810197653.970"
"16","2014-09-17","31575248329.650"
"2","2014-09-18","39209024.000"
"8","2014-09-18","247814286.810"
"1","2014-09-18","144277511010.000"
"4","2014-09-18","128093522951.890"
"16","2014-09-18","28453119737.260"
"2","2014-09-19","42976707.000"
"8","2014-09-19","325056038.790"
"1","2014-09-19","144081284135.000"
"4","2014-09-19","128184050055.680"
"16","2014-09-19","30654993406.870"
"2","2014-09-22","53638582.000"
"8","2014-09-22","264902727.890"
"1","2014-09-22","147512110471.000"
"4","2014-09-22","135687039877.770"
"16","2014-09-22","33527092791.600"
"2","2014-09-23","45163001.000"
"8","2014-09-23","235139400.490"
"1","2014-09-23","135119307951.000"
"4","2014-09-23","129649751866.720"
"16","2014-09-23","32133981050.680"
"2","2014-09-24","61363044.000"
"8","2014-09-24","393899572.000"
"1","2014-09-24","185313561389.000"
"4","2014-09-24","160956422797.770"
"16","2014-09-24","37969571827.490"
"2","2014-09-25","47303051.000"
"8","2014-09-25","359735486.510"
"1","2014-09-25","188969677042.000"
"4","2014-09-25","173803274959.070"
"16","2014-09-25","41689153097.270"
"2","2014-09-26","31771255.000"
"8","2014-09-26","306499001.790"
"1","2014-09-26","148025558078.000"
"4","2014-09-26","140224110427.540"
"16","2014-09-26","33634257429.440"
"2","2014-09-29","39985982.000"
"8","2014-09-29","358846573.190"
"1","2014-09-29","170884932374.000"
"4","2014-09-29","159015947721.820"
"16","2014-09-29","41018590172.550"
"2","2014-09-30","51008473.000"
"8","2014-09-30","390678504.000"
"1","2014-09-30","166619687281.000"
"4","2014-09-30","143356269378.570"
"16","2014-09-30","37207044956.260"
"2","2014-10-08","35196762.000"
"8","2014-10-08","441232176.240"
"1","2014-10-08","180121028163.000"
"4","2014-10-08","165092103659.150"
"16","2014-10-08","41662419803.540"
"2","2014-10-09","47275404.000"
"8","2014-10-09","417351696.680"
"1","2014-10-09","199980896819.000"
"4","2014-10-09","196599078266.650"
"16","2014-10-09","49641316951.270"
"2","2014-10-10","39156394.000"
"8","2014-10-10","430039292.170"
"1","2014-10-10","192007324381.000"
"4","2014-10-10","180846441969.030"
"16","2014-10-10","43535393150.790"
"2","2014-10-13","40442043.000"
"8","2014-10-13","295297893.310"
"1","2014-10-13","175176473369.000"
"4","2014-10-13","161631000485.750"
"16","2014-10-13","40575689411.740"
"2","2014-10-14","29587326.000"
"8","2014-10-14","313307088.580"
"1","2014-10-14","169978211803.000"
"4","2014-10-14","158714469826.410"
"16","2014-10-14","39319673085.840"
"2","2014-10-15","28246293.000"
"8","2014-10-15","286389525.830"
"1","2014-10-15","171593117051.000"
"4","2014-10-15","155225156046.350"
"16","2014-10-15","37716774676.980"
"2","2014-10-16","29659745.000"
"8","2014-10-16","290272066.880"
"1","2014-10-16","203623566409.000"
"4","2014-10-16","166975409034.070"
"16","2014-10-16","40500735360.540"
"2","2014-10-17","48091039.000"
"8","2014-10-17","274538332.610"
"1","2014-10-17","179137546974.000"
"4","2014-10-17","158839335958.060"
"16","2014-10-17","39014698099.170"
"2","2014-10-20","34455452.000"
"8","2014-10-20","249406583.950"
"1","2014-10-20","141608679237.000"
"4","2014-10-20","129179059675.030"
"16","2014-10-20","30518734892.220"
"2","2014-10-21","42560785.000"
"8","2014-10-21","264280184.660"
"1","2014-10-21","146524960143.000"
"4","2014-10-21","127684171358.830"
"16","2014-10-21","32957551997.610"
"2","2014-10-22","25692617.000"
"8","2014-10-22","277555883.050"
"1","2014-10-22","138366766876.000"
"4","2014-10-22","118787161138.830"
"16","2014-10-22","32090526889.560"
"2","2014-10-23","26428657.000"
"8","2014-10-23","283181742.000"
"1","2014-10-23","140434213322.000"
"4","2014-10-23","120695710815.290"
"16","2014-10-23","31424615740.270"
"2","2014-10-24","31460928.000"
"8","2014-10-24","200244362.350"
"1","2014-10-24","114137504028.000"
"4","2014-10-24","96026819279.160"
"16","2014-10-24","25079298961.390"
"2","2014-10-27","28572685.000"
"8","2014-10-27","237793212.500"
"1","2014-10-27","113204353869.000"
"4","2014-10-27","95875378862.320"
"16","2014-10-27","29399910075.150"
"2","2014-10-28","36465948.000"
"8","2014-10-28","233665370.450"
"1","2014-10-28","157923813461.000"
"4","2014-10-28","135608485104.090"
"16","2014-10-28","35487728134.940"
"2","2014-10-29","42932158.000"
"8","2014-10-29","331745406.000"
"1","2014-10-29","224803184541.000"
"4","2014-10-29","183547188718.900"
"16","2014-10-29","42886038583.000"
"2","2014-10-30","42438705.000"
"8","2014-10-30","365617097.090"
"1","2014-10-30","226350320113.000"
"4","2014-10-30","168127061723.450"
"16","2014-10-30","38141149091.650"
"2","2014-10-31","35571101.000"
"8","2014-10-31","322656904.520"
"1","2014-10-31","249696798241.000"
"4","2014-10-31","166136200695.690"
"16","2014-10-31","36989105207.950"
"2","2014-11-03","48407410.000"
"8","2014-11-03","381955290.190"
"1","2014-11-03","226899073200.000"
"4","2014-11-03","160707347149.770"
"16","2014-11-03","34225203606.380"
"2","2014-11-04","37246209.000"
"8","2014-11-04","389048645.820"
"1","2014-11-04","226274961951.000"
"4","2014-11-04","161859778558.630"
"16","2014-11-04","37143367613.870"
"2","2014-11-05","32543578.000"
"8","2014-11-05","225531617.210"
"1","2014-11-05","201659392989.000"
"4","2014-11-05","148307185073.180"
"16","2014-11-05","29673393445.160"
"2","2014-11-06","33955511.000"
"8","2014-11-06","274414848.570"
"1","2014-11-06","179435678942.000"
"4","2014-11-06","141072609079.180"
"16","2014-11-06","34072264092.050"
"2","2014-11-07","35465253.000"
"8","2014-11-07","281205553.360"
"1","2014-11-07","243939595371.000"
"4","2014-11-07","177459295596.870"
"16","2014-11-07","44834618454.080"
"2","2014-11-10","41635087.000"
"8","2014-11-10","304112656.000"
