Portfolio,Mean Return,t-value
G1,3.31%,4.692661
G2,1.84%,3.078719
G3,1.73%,3.055138
G4,1.46%,2.627230
G5,1.16%,2.144429
G6,0.99%,1.854473
G7,0.88%,1.693909
G8,0.81%,1.608715
G9,0.80%,1.650192
G10,0.73%,1.622982
LS,-2.58%,-4.720989
