Portfolio,Alpha,Alpha t,Beta_MKT,Beta t
G1,2.73%,5.012298,1.094739,14.369114
G2,1.26%,3.202619,1.09436,19.92991
G3,1.15%,3.321063,1.087976,22.407232
G4,0.88%,2.687769,1.091145,23.780804
G5,0.59%,1.893847,1.074968,24.696952
G6,0.42%,1.415053,1.089012,26.436468
G7,0.31%,1.147961,1.091037,29.302496
G8,0.24%,1.001048,1.083743,32.309956
G9,0.23%,1.161063,1.07679,38.69972
G10,0.17%,1.543362,1.054342,69.370441
LS,-2.56%,-4.663268,-0.040396,-0.525591
